Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
roberta-base,onnxruntime_gpu_pascal,1000,1,10.30421257019043,10.997533798217773,10.875782489776611,8.881092071533203,495.7404136657715,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_pascal,1000,2,10.679483413696289,11.140108108520508,10.729105234146118,9.710073471069336,16.251325607299805,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_pascal,1000,4,11.274576187133789,11.511087417602539,11.274880170822144,10.393381118774414,22.98569679260254,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_pascal,1000,8,11.290550231933594,11.46388053894043,11.314750909805298,10.267496109008789,40.081024169921875,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_pascal,1000,16,11.292457580566406,11.481761932373047,11.263953924179077,10.307788848876953,16.448497772216797,94.8,97.93388429752066
roberta-large,onnxruntime_gpu_pascal,1000,1,19.586801528930664,19.901514053344727,19.565450429916382,18.52703094482422,25.210142135620117,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_pascal,1000,2,20.56097984313965,20.874977111816406,20.51974606513977,19.105195999145508,26.369333267211914,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_pascal,1000,4,21.914958953857422,22.211074829101562,21.884324312210083,20.60413360595703,32.14216232299805,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_pascal,1000,8,21.226167678833008,21.693706512451172,21.344949960708618,20.285606384277344,58.63595008850098,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_pascal,1000,16,21.276473999023438,21.62456512451172,21.29478693008423,20.10488510131836,28.612852096557617,96.4,99.58677685950414
albert-base-v2,onnxruntime_gpu_pascal,1000,1,11.165142059326172,11.372089385986328,11.188470363616943,10.346412658691406,31.815052032470703,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_pascal,1000,2,11.753559112548828,11.957883834838867,11.778088569641113,11.33418083190918,16.26300811767578,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_pascal,1000,4,12.353181838989258,12.591838836669922,12.37805700302124,11.461257934570312,27.651548385620117,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_pascal,1000,8,12.27116584777832,12.527704238891602,12.286426782608032,11.713743209838867,15.332221984863281,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_pascal,1000,16,12.24064826965332,12.495279312133789,12.259120464324951,11.696100234985352,16.836881637573242,92.9,95.9710743801653
albert-large-v2,onnxruntime_gpu_pascal,1000,1,21.74854278564453,22.124052047729492,21.789913654327393,20.854949951171875,25.582075119018555,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_pascal,1000,2,22.73392677307129,23.090124130249023,22.773240089416504,21.819353103637695,34.194231033325195,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_pascal,1000,4,23.96392822265625,24.308204650878906,23.99917960166931,23.316621780395508,29.435396194458008,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_pascal,1000,8,23.758888244628906,24.05714988708496,23.885965585708618,23.169755935668945,83.35185050964355,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_pascal,1000,16,24.03879165649414,24.371862411499023,24.054009914398193,22.43518829345703,35.552978515625,94.9,98.03719008264463
albert-xlarge-v2,onnxruntime_gpu_pascal,1000,1,21.919965744018555,22.246599197387695,21.95506453514099,21.204233169555664,27.84585952758789,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_pascal,1000,2,30.8990478515625,31.058549880981445,30.826348066329956,22.751808166503906,41.71013832092285,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_pascal,1000,4,55.36365509033203,55.971622467041016,55.29294204711914,25.388240814208984,66.45798683166504,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_pascal,1000,8,54.13055419921875,54.8253059387207,54.05517816543579,24.667739868164062,64.02802467346191,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_pascal,1000,16,84.77115631103516,85.0229263305664,84.60731387138367,25.223731994628906,92.30399131774902,95.4,98.55371900826448
albert-xxlarge-v2,onnxruntime_gpu_pascal,1000,1,29.720067977905273,29.813766479492188,29.60798978805542,11.208295822143555,31.024456024169922,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_pascal,1000,2,58.70771408081055,58.866262435913086,58.521363735198975,11.929035186767578,61.121225357055664,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_pascal,1000,4,111.48285865783691,112.80059814453125,111.26495265960693,12.544870376586914,115.18430709838867,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_pascal,1000,8,116.39904975891113,117.51580238342285,116.12459778785706,13.077974319458008,119.36450004577637,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_pascal,1000,16,163.9692783355713,165.49372673034668,163.4385678768158,12.401580810546875,167.82116889953613,96.8,100.0
bert-base-uncased,onnxruntime_gpu_pascal,1000,1,9.78398323059082,10.03408432006836,9.801995515823364,9.151697158813477,14.369487762451172,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_pascal,1000,2,10.360002517700195,10.641098022460938,10.366493463516235,9.570837020874023,14.2822265625,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_pascal,1000,4,10.773181915283203,11.077880859375,10.780329465866089,9.733200073242188,19.78158950805664,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_pascal,1000,8,10.758399963378906,11.069297790527344,10.765459537506104,10.09988784790039,14.020204544067383,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_pascal,1000,16,10.805606842041016,11.096715927124023,10.80813980102539,9.777545928955078,15.269756317138672,93.5,96.5909090909091
bert-large-uncased,onnxruntime_gpu_pascal,1000,1,19.1497802734375,19.466400146484375,19.168926000595093,18.23568344116211,25.014638900756836,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_pascal,1000,2,20.2023983001709,20.526647567749023,20.226088762283325,19.057035446166992,25.942087173461914,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_pascal,1000,4,21.325111389160156,21.69632911682129,21.350852012634277,20.008563995361328,25.93994140625,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_pascal,1000,8,21.287202835083008,21.671056747436523,21.315109729766846,20.264148712158203,25.723695755004883,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_pascal,1000,16,21.368980407714844,21.697998046875,21.4120135307312,20.520925521850586,33.2794189453125,94.9,98.03719008264463
roberta-base,onnxruntime_cpu,100,1,45.046091079711914,47.868967056274414,45.268962383270264,39.528846740722656,57.37805366516113,94.8,97.93388429752066
roberta-base,onnxruntime_cpu,100,2,46.671152114868164,51.77593231201172,46.91284894943237,39.76917266845703,58.49814414978027,94.8,97.93388429752066
roberta-base,onnxruntime_cpu,100,4,41.28718376159668,45.87697982788086,41.55599594116211,35.195112228393555,55.32693862915039,94.8,97.93388429752066
roberta-base,onnxruntime_cpu,100,8,41.612863540649414,45.03202438354492,42.113516330718994,38.301944732666016,53.93099784851074,94.8,97.93388429752066
roberta-base,onnxruntime_cpu,100,16,62.658071517944336,65.37485122680664,63.05138111114501,59.79418754577637,79.61106300354004,94.8,97.93388429752066
roberta-large,onnxruntime_cpu,100,1,115.19694328308105,119.72665786743164,115.44355869293213,108.06703567504883,140.42305946350098,96.4,99.58677685950414
roberta-large,onnxruntime_cpu,100,2,114.55512046813965,122.41482734680176,115.37687540054321,103.4090518951416,149.65581893920898,96.4,99.58677685950414
roberta-large,onnxruntime_cpu,100,4,93.98794174194336,98.19293022155762,94.98849630355835,91.54486656188965,133.544921875,96.4,99.58677685950414
roberta-large,onnxruntime_cpu,100,8,125.18000602722168,127.89297103881836,125.91924190521239,122.66993522644043,164.4878387451172,96.4,99.58677685950414
roberta-large,onnxruntime_cpu,100,16,166.9309139251709,172.7609634399414,168.98339986801147,165.56310653686523,242.81597137451172,96.4,99.58677685950414
albert-base-v2,onnxruntime_cpu,100,1,54.985761642456055,57.8000545501709,55.08516311645508,47.88684844970703,90.06404876708984,92.9,95.9710743801653
albert-base-v2,onnxruntime_cpu,100,2,65.46783447265625,71.40517234802246,64.34451580047607,46.53811454772949,75.1338005065918,92.9,95.9710743801653
albert-base-v2,onnxruntime_cpu,100,4,45.736074447631836,51.82790756225586,45.90965032577515,36.84091567993164,58.08424949645996,92.9,95.9710743801653
albert-base-v2,onnxruntime_cpu,100,8,42.636871337890625,47.019004821777344,43.42284440994263,39.43490982055664,55.83071708679199,92.9,95.9710743801653
albert-base-v2,onnxruntime_cpu,100,16,63.721418380737305,65.6270980834961,63.83257150650025,60.95099449157715,73.87900352478027,92.9,95.9710743801653
albert-large-v2,onnxruntime_cpu,100,1,130.71918487548828,138.38887214660645,131.59054040908813,122.88689613342285,156.26978874206543,94.9,98.03719008264463
