,Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
0,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,1,2.856016159057617,2.903461456298828,2.86287784576416,2.8107166290283203,3.4089088439941406,85.9,88.7396694214876
1,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,2,3.027200698852539,3.063201904296875,3.037283420562744,2.975940704345703,3.604888916015625,85.9,88.7396694214876
2,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,4,3.154277801513672,3.192901611328125,3.161942958831787,3.1070709228515625,3.7992000579833984,85.9,88.7396694214876
3,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,8,3.1583309173583984,3.175497055053711,3.1627559661865234,3.1104087829589844,3.8251876831054688,85.9,88.7396694214876
4,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,12,3.19235747860324,,,2.8107166290283203,,85.9,88.7396694214876
5,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,16,3.2243728637695312,3.2491683959960938,3.2313132286071777,3.1807422637939453,3.873109817504883,85.9,88.7396694214876
6,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,20,3.341761327558948,,,2.8107166290283203,,85.9,88.7396694214876
7,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,24,3.4164632520368023,,,2.8107166290283203,,85.9,88.7396694214876
8,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,28,3.4911651765146563,,,2.8107166290283203,,85.9,88.7396694214876
9,prajjwal1/bert-mini,onnxruntime_gpu_ampere,100.0,32,3.5658671009925103,,,2.8107166290283203,,85.9,88.7396694214876
10,efficientnet-b3,onnxruntime_gpu_ampere,,1,38.12,,38.12,32.06,76.18,81.6,96.79715302491104
11,efficientnet-b3,onnxruntime_gpu_ampere,,2,134.41,,134.41,49.04,1669.28,81.6,96.79715302491104
12,efficientnet-b3,onnxruntime_gpu_ampere,,4,176.98,,176.98,85.13,1846.41,81.6,96.79715302491104
13,efficientnet-b3,onnxruntime_gpu_ampere,,8,233.91,,233.91,148.53,1749.19,81.6,96.79715302491104
14,efficientnet-b3,onnxruntime_gpu_ampere,,12,346.24104347826085,,,32.06,,81.6,96.79715302491104
15,efficientnet-b3,onnxruntime_gpu_ampere,,16,443.3979130434782,,,32.06,,81.6,96.79715302491104
16,efficientnet-b3,onnxruntime_gpu_ampere,,20,540.5547826086955,,,32.06,,81.6,96.79715302491104
17,efficientnet-b3,onnxruntime_gpu_ampere,,24,637.711652173913,,,32.06,,81.6,96.79715302491104
18,efficientnet-b3,onnxruntime_gpu_ampere,,28,734.8685217391303,,,32.06,,81.6,96.79715302491104
19,efficientnet-b3,onnxruntime_gpu_ampere,,32,832.0253913043476,,,32.06,,81.6,96.79715302491104
20,mobilenet1.0,onnxruntime_gpu_pascal,,1,23.36,,23.36,20.36,70.17,73.28,100.0
21,mobilenet1.0,onnxruntime_gpu_pascal,,2,64.42,,64.42,35.88,586.65,73.28,100.0
22,mobilenet1.0,onnxruntime_gpu_pascal,,4,97.78,,97.78,68.8,593.27,73.28,100.0
23,mobilenet1.0,onnxruntime_gpu_pascal,,8,154.65,,154.65,118.17,744.4,73.28,100.0
24,mobilenet1.0,onnxruntime_gpu_pascal,,12,229.88878260869566,,,20.36,,73.28,100.0
25,mobilenet1.0,onnxruntime_gpu_pascal,,16,300.1124347826087,,,20.36,,73.28,100.0
