Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
gpt2,PyTorch,100,1,0.20419669151306152,0.20493483543395996,0.2085338282585144,0.20334792137145996,0.6284937858581543
gpt2,PyTorch,100,2,0.20145130157470703,0.2025609016418457,0.20164377927780153,0.20072102546691895,0.20529484748840332
gpt2,PyTorch,100,4,0.20621800422668457,0.21648669242858887,0.21038378715515138,0.20487070083618164,0.21757221221923828
gpt2,PyTorch,100,8,0.2173910140991211,0.21842193603515625,0.21477374792099,0.20766019821166992,0.22079873085021973
gpt2,PyTorch,100,16,0.20767927169799805,0.2099301815032959,0.2080136513710022,0.20688152313232422,0.21093297004699707
gpt2-medium,PyTorch,100,1,0.38860273361206055,0.39105963706970215,0.3885003328323364,0.38518786430358887,0.3935070037841797
gpt2-medium,PyTorch,100,2,0.3990821838378906,0.4024171829223633,0.3992286252975464,0.39591312408447266,0.4047727584838867
gpt2-medium,PyTorch,100,4,0.39377689361572266,0.39472126960754395,0.39377718210220336,0.392474889755249,0.39549899101257324
gpt2-medium,PyTorch,100,8,0.3965902328491211,0.3974010944366455,0.39668128490447996,0.39527034759521484,0.40214085578918457
gpt2-medium,PyTorch,100,16,0.3970165252685547,0.3977854251861572,0.39716765880584715,0.3960225582122803,0.4011569023132324
gpt2-large,PyTorch,100,1,0.5907986164093018,0.5958230495452881,0.5915198850631714,0.5883450508117676,0.598435640335083
gpt2-large,PyTorch,100,2,0.6277532577514648,0.6313562393188477,0.6285587334632874,0.6261312961578369,0.6409909725189209
gpt2-large,PyTorch,100,4,0.6008846759796143,0.6028008460998535,0.6012017893791198,0.5989847183227539,0.6057584285736084
gpt2-large,PyTorch,100,8,0.6018662452697754,0.6054019927978516,0.6027706503868103,0.5992658138275146,0.6333558559417725
gpt2-large,PyTorch,100,16,0.5901765823364258,0.5914473533630371,0.5908459067344666,0.5887839794158936,0.6220967769622803
gpt2-xl,PyTorch,100,1,0.7979822158813477,0.8027603626251221,0.8127785944938659,0.7937545776367188,2.101405143737793
gpt2-xl,PyTorch,100,2,0.7917511463165283,0.7935302257537842,0.7919996166229248,0.7895717620849609,0.7962279319763184
gpt2-xl,PyTorch,100,4,0.809847354888916,0.8390843868255615,0.8156632065773011,0.7991764545440674,0.8493213653564453
gpt2-xl,PyTorch,100,8,0.795640230178833,0.7978265285491943,0.7947688388824463,0.7889385223388672,0.8084819316864014
gpt2-xl,PyTorch,100,16,0.789975643157959,0.7940318584442139,0.7903137397766113,0.7844619750976562,0.802722692489624
