Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
t5-small,PyTorch,100,1,0.11989808082580566,0.1204681396484375,0.12497206687927247,0.11946773529052734,0.6186032295227051
t5-small,PyTorch,100,2,0.12999463081359863,0.13089346885681152,0.1300186276435852,0.12884283065795898,0.1333298683166504
t5-small,PyTorch,100,4,0.13065743446350098,0.13144373893737793,0.1308320927619934,0.13012337684631348,0.13447904586791992
t5-small,PyTorch,100,8,0.13170981407165527,0.13245439529418945,0.13181410551071168,0.13097548484802246,0.13331198692321777
t5-small,PyTorch,100,16,0.131744384765625,0.1322619915008545,0.13181334972381592,0.13106560707092285,0.13516950607299805
t5-base,PyTorch,100,1,0.22841763496398926,0.22950267791748047,0.22851674795150756,0.2270655632019043,0.23188543319702148
t5-base,PyTorch,100,2,0.2400357723236084,0.25040292739868164,0.24253633737564087,0.23740673065185547,0.2514607906341553
t5-base,PyTorch,100,4,0.24282622337341309,0.24421191215515137,0.24303014755249022,0.24136137962341309,0.2471463680267334
t5-base,PyTorch,100,8,0.2441253662109375,0.24638652801513672,0.24448310136795043,0.24235010147094727,0.2481400966644287
t5-base,PyTorch,100,16,0.24457621574401855,0.24573779106140137,0.2447078514099121,0.2434825897216797,0.247542142868042
t5-large,PyTorch,100,1,0.43869924545288086,0.4406886100769043,0.43905755519866946,0.43632984161376953,0.468308687210083
t5-large,PyTorch,100,2,0.4827892780303955,0.48406291007995605,0.48289783239364625,0.48153233528137207,0.48653578758239746
t5-large,PyTorch,100,4,0.4687175750732422,0.4714045524597168,0.4690853500366211,0.46561503410339355,0.47452211380004883
t5-large,PyTorch,100,8,0.46916890144348145,0.47242212295532227,0.4698483896255493,0.4669017791748047,0.4844050407409668
t5-large,PyTorch,100,16,0.4894092082977295,0.491138219833374,0.48824909925460813,0.4642786979675293,0.49478769302368164
