Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_ampere,1,46.39,38.87,84.1,densenet121_ampere_1_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_ampere,2,76.57,57.37,366.08,densenet121_ampere_2_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_ampere,4,110.72,83.73,426.93,densenet121_ampere_4_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_ampere,8,157.84,126.98,532.56,densenet121_ampere_8_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_pascal,1,37.66,33.52,115.95,densenet121_pascal_1_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_pascal,2,65.48,50.28,319.94,densenet121_pascal_2_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_pascal,4,97.96,81.22,356.06,densenet121_pascal_4_stats.json
densenet121.onnx,b3fe0fecd3b1214d58419212b45b9c9f,onnxruntime_gpu_pascal,8,155.79,132.72,457.79,densenet121_pascal_8_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_ampere,1,55.24,43.08,93.36,densenet161_ampere_1_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_ampere,2,88.99,52.53,509.96,densenet161_ampere_2_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_ampere,4,127.01,86.68,601.58,densenet161_ampere_4_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_ampere,8,184.06,148.9,706.52,densenet161_ampere_8_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_pascal,1,46.2,37.7,104.04,densenet161_pascal_1_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_pascal,2,77.64,58.45,396.9,densenet161_pascal_2_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_pascal,4,111.8,93.27,424.26,densenet161_pascal_4_stats.json
densenet161.onnx,4a97b2f7eba10744448cc4b61ac28f95,onnxruntime_gpu_pascal,8,182.63,156.24,614.2,densenet161_pascal_8_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_ampere,1,53.32,40.61,90.27,densenet169_ampere_1_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_ampere,2,86.33,54.35,507.45,densenet169_ampere_2_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_ampere,4,123.21,98.15,508.7,densenet169_ampere_4_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_ampere,8,172.67,126.49,595.22,densenet169_ampere_8_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_pascal,1,44.08,38.13,97.47,densenet169_pascal_1_stats.json
