MD5,Model,CPU,GPU-PASCAL,GPU-AMPERE,PASCAL-MEM,AMPERE-MEM,ACCURACY
0524423299886af4f3ea5bb16443ccd5,./densenet/densenet121/densenet121.onnx,848.18,19.04,27.47,520784,1388544,74.97
c56e9235b1e37b4617bef1718ff9e46c,./densenet/densenet161/densenet161.onnx,2084.82,25.4,30.73,635904,1519616,77.7
01188f38174207be74fd4b9cb0461d58,./densenet/densenet169/densenet169.onnx,289.93,27.35,30.73,1144832,1388544,76.17
a40617de7c55a7c6434235a604f7ddd5,./densenet/densenet201/densenet201.onnx,1351.02,29.18,32.31,504832,1388544,77.32
e1a236c0d279d5b6f6f4e968259f2d2f,./efficientnet/efficientnetb0/efficientnetb0.onnx,65.97,18.85,17.99,437248,1319936,77.1
9ef307a05b1c8661d0878ba6e6d0751e,./efficientnet/efficientnetb1/efficientnetb1.onnx,159.81,21.84,20.88,502784,1388544,79.1
5d0ec01bac90e984f0ac25eae47f6081,./efficientnet/efficientnetb3/efficientnetb3.onnx,73.07,29.5,21.03,486400,1388544,81.6
7eee1c8790cf7be87f030086811c822a,./efficientnet/efficientnetb5/efficientnetb5.onnx,411.45,43.53,30.72,137216,1525760,83.6
ede73c798de6f2479e5af1c7171785f0,./efficientnet/efficientnetb7/efficientnetb7.onnx,736.58,61.42,39.63,906240,1792000,84.3
0d403121da3c9ef948bd0d71a0eafdf8,./mobilenet/mobilenet0.25/mobilenet0.25.onnx,26.97,10.18,15.22,412672,1298432,52.91
502eb3c59316f81facdd448122df8862,./mobilenet/mobilenet0.5/mobilenet0.5.onnx,58.14,10.55,13.28,420864,1306624,65.2
8b849f95c65c0fcfaf34bcbe968d6604,./mobilenet/mobilenet0.75/mobilenet0.75.onnx,203.1,13.12,12.65,233472,1339392,70.25
3dc18be0e0aa6cfaa57414a5873e0aff,./mobilenet/mobilenet1.0/mobilenet1.0.onnx,226.15,12.7,13.01,519168,1323008,73.28
0b6c9c31e6780bce36aaf99344fefee0,./resnest/resnest14/resnest14.onnx,246.53,11.21,14.7,504832,1388544,75.75
5bc8f8c37408f52239fa4b8409b633aa,./resnest/resnest26/resnest26.onnx,828.82,14.13,14.57,508928,1392640,78.68
26d1feb3662cc0d1352178747952ee85,./resnest/resnest269/resnest269.onnx,5420.35,49.25,43.33,906240,1789952,84.53
c04be03ef83718ef92bdb1e78c29b4b2,./resnest/resnest50/resnest50.onnx,2116.26,16.84,22.69,635904,1519616,81.04
d58bf0baa13468274ba0baea07ffda02,./resnet/resnet101_v1/resnet101_v1.onnx,435.61,18.23,23.72,635904,1519616,78.34
6f6196cd224d9ac18a596cb4991bd211,./resnet/resnet152_v1/resnet152_v1.onnx,1827.24,23.09,25.19,898048,1781760,79.22
6573c7082f7f646e82047a1e7a437fba,./resnet/resnet18_v1/resnet18_v1.onnx,331.3,10.89,12.3,513024,1396736,70.93
aa0bc13c73a747ce110f65c7491ec4a5,./resnet/resnet34_v1/resnet34_v1.onnx,162.76,12.42,15.51,637952,1521664,74.37
622d9cc2f1b2b59763d7a1ad9edfb72d,./resnet/resnet50_v1/resnet50_v1.onnx,272.75,13.63,16.34,637952,1521664,77.36
0356dac99195d9813b7ee6c448742c9d,./vgg/vgg11/vgg11.onnx,1008.28,12.22,13.06,1563648,2447360,66.62
0cd01c2802c50d90c2e537b8749d422d,./vgg/vgg13/vgg13.onnx,373.84,12.39,10.89,1555456,2439168,67.74
0e3032a227e37ffa330c08d842a11b4d,./vgg/vgg16/vgg16.onnx,1488.93,15.71,14.1,1615872,2045952,73.23
8d839f6c4eb74cc30a99e12482de39af,./vgg/vgg19/vgg19.onnx,671.04,14.53,13.37,1487872,2373632,74.11
