Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
models/efficientnet-b0.onnx,onnxruntime,100,1,0.026496171951293945,0.027070045471191406,0.026596517562866212,0.026098966598510742,0.028384923934936523
models/efficientnet-b0.onnx,onnxruntime,100,2,0.0538938045501709,0.05597090721130371,0.05419263601303101,0.052049875259399414,0.060561180114746094
models/efficientnet-b0.onnx,onnxruntime,100,4,0.10485291481018066,0.11137223243713379,0.10597585439682007,0.10333824157714844,0.11930489540100098
models/efficientnet-b0.onnx,onnxruntime,100,8,0.21011686325073242,0.21637392044067383,0.21139481782913208,0.20821833610534668,0.24936199188232422
models/efficientnet-b0.onnx,onnxruntime,100,16,0.4271411895751953,0.4449138641357422,0.4298503708839416,0.41927099227905273,0.4736919403076172
models/efficientnet-b1.onnx,onnxruntime,100,1,0.037734031677246094,0.03821301460266113,0.03777562141418457,0.03713703155517578,0.040415048599243164
models/efficientnet-b1.onnx,onnxruntime,100,2,0.07464194297790527,0.07599425315856934,0.07492342233657837,0.07387709617614746,0.08100605010986328
models/efficientnet-b1.onnx,onnxruntime,100,4,0.1489880084991455,0.15082335472106934,0.1491268014907837,0.14716601371765137,0.15410828590393066
models/efficientnet-b1.onnx,onnxruntime,100,8,0.3001220226287842,0.3060910701751709,0.30109969854354857,0.2974069118499756,0.327120304107666
models/efficientnet-b1.onnx,onnxruntime,100,16,0.6035060882568359,0.6090028285980225,0.6050701665878296,0.5993289947509766,0.6519210338592529
models/efficientnet-b1.onnx,onnxruntime,100,1,0.03790593147277832,0.03844571113586426,0.03793269395828247,0.037387847900390625,0.03944993019104004
models/efficientnet-b1.onnx,onnxruntime,100,2,0.07472419738769531,0.07581686973571777,0.0748970127105713,0.07374000549316406,0.07977604866027832
models/efficientnet-b1.onnx,onnxruntime,100,4,0.14938902854919434,0.15075373649597168,0.14965941190719603,0.1480240821838379,0.15625691413879395
models/efficientnet-b1.onnx,onnxruntime,100,8,0.2995152473449707,0.3020658493041992,0.3002389049530029,0.2978849411010742,0.316478967666626
models/efficientnet-b1.onnx,onnxruntime,100,16,0.6053690910339355,0.6208839416503906,0.6100149273872375,0.5998759269714355,0.7139992713928223
models/efficientnet-b3.onnx,onnxruntime,100,1,0.057092905044555664,0.058424949645996094,0.057435498237609864,0.056687116622924805,0.06306099891662598
models/efficientnet-b3.onnx,onnxruntime,100,2,0.11255502700805664,0.11427903175354004,0.11288146257400512,0.11207103729248047,0.11862397193908691
models/efficientnet-b3.onnx,onnxruntime,100,4,0.22571492195129395,0.2289562225341797,0.2263444781303406,0.22393798828125,0.24128317832946777
models/efficientnet-b3.onnx,onnxruntime,100,8,0.4532191753387451,0.45775794982910156,0.4543227458000183,0.45079779624938965,0.49258995056152344
models/efficientnet-b3.onnx,onnxruntime,100,16,0.9141149520874023,0.920853853225708,0.9155214071273804,0.9072568416595459,0.9948620796203613
models/efficientnet-b5.onnx,onnxruntime,100,1,0.12076997756958008,0.12175416946411133,0.1209525990486145,0.12011003494262695,0.1273517608642578
models/efficientnet-b5.onnx,onnxruntime,100,2,0.23851490020751953,0.24065899848937988,0.23886568784713746,0.2371969223022461,0.24824190139770508
models/efficientnet-b5.onnx,onnxruntime,100,4,0.47573089599609375,0.4794437885284424,0.4763666582107544,0.472135066986084,0.49738287925720215
models/efficientnet-b5.onnx,onnxruntime,100,8,0.9519031047821045,0.9599950313568115,0.9529755163192749,0.9427659511566162,0.9928591251373291
models/efficientnet-b5.onnx,onnxruntime,100,16,1.9079148769378662,1.9460620880126953,1.9143248724937438,1.8929100036621094,2.0161221027374268
models/efficientnet-b7.onnx,onnxruntime,100,1,0.23960494995117188,0.24291586875915527,0.24040667295455934,0.2368183135986328,0.25773119926452637
models/efficientnet-b7.onnx,onnxruntime,100,2,0.469635009765625,0.4738891124725342,0.47057868242263795,0.46494579315185547,0.4943087100982666
models/efficientnet-b7.onnx,onnxruntime,100,4,0.9324407577514648,0.9418859481811523,0.9350667071342468,0.9233160018920898,1.0743370056152344
models/efficientnet-b7.onnx,onnxruntime,100,8,1.8698410987854004,1.8861727714538574,1.8703043580055236,1.8510351181030273,1.9043593406677246
models/efficientnet-b7.onnx,onnxruntime,100,16,3.793787956237793,3.8381330966949463,3.7983622217178343,3.750282049179077,3.995375871658325
