Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
gpt2,PyTorch,100,1,0.26330113410949707,0.2828941345214844,0.2667265439033508,0.2523469924926758,0.3114349842071533
gpt2,PyTorch,100,2,0.36597204208374023,0.3846578598022461,0.3693768644332886,0.3592100143432617,0.415496826171875
gpt2,PyTorch,100,4,0.35796523094177246,0.3736381530761719,0.3615808629989624,0.3514978885650635,0.4284090995788574
gpt2,PyTorch,100,8,0.4103550910949707,0.4157438278198242,0.410686731338501,0.4037971496582031,0.424267053604126
gpt2,PyTorch,100,16,0.5356671810150146,0.5502629280090332,0.5366652655601502,0.5062751770019531,0.618905782699585
gpt2-medium,PyTorch,100,1,0.7354061603546143,0.7477989196777344,0.7371245217323303,0.7249331474304199,0.763542890548706
gpt2-medium,PyTorch,100,2,1.9694299697875977,2.014707088470459,1.9761219358444213,1.9200170040130615,2.267021894454956
gpt2-medium,PyTorch,100,4,1.9609951972961426,2.0404348373413086,1.9716794848442079,1.8895950317382812,2.6939120292663574
gpt2-medium,PyTorch,100,8,2.035853624343872,2.0979490280151367,2.0508566999435427,2.003894090652466,2.215007781982422
gpt2-medium,PyTorch,100,16,2.234149217605591,2.249307870864868,2.2358135986328125,2.1989760398864746,2.365617275238037
gpt2-large,PyTorch,100,1,1.5372769832611084,1.6412928104400635,1.5603970956802369,1.4985790252685547,1.9288218021392822
gpt2-large,PyTorch,100,2,2.4240880012512207,2.5130810737609863,2.4352172899246214,2.354717969894409,2.598221778869629
gpt2-large,PyTorch,100,4,2.539797067642212,2.61887788772583,2.5484915590286255,2.4493730068206787,2.792407989501953
gpt2-large,PyTorch,100,8,2.702677011489868,2.7363100051879883,2.7059719586372375,2.6501259803771973,2.9030370712280273
gpt2-large,PyTorch,100,16,2.4661741256713867,2.5441558361053467,2.470307238101959,2.3703670501708984,2.575629234313965
gpt2-xl,PyTorch,100,1,2.8709218502044678,2.895531177520752,2.912079145908356,2.8479039669036865,6.52690315246582
gpt2-xl,PyTorch,100,2,3.4572269916534424,3.514049768447876,3.493147683143616,3.405034303665161,6.135071039199829
gpt2-xl,PyTorch,100,4,3.598017930984497,3.627937078475952,3.6197541666030886,3.506150245666504,5.747046947479248
gpt2-xl,PyTorch,100,8,3.9261040687561035,3.9537360668182373,3.9577650690078734,3.8827061653137207,6.816074848175049
gpt2-xl,PyTorch,100,16,3.6734001636505127,3.7901670932769775,34.858419127464295,3.518286943435669,1018.1941151618958
