Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
roberta-base,PyTorch,100,1,0.045046091079711914,0.047868967056274414,0.045268962383270266,0.039528846740722656,0.05737805366516113
roberta-base,PyTorch,100,2,0.046671152114868164,0.05177593231201172,0.04691284894943237,0.03976917266845703,0.05849814414978027
roberta-base,PyTorch,100,4,0.04128718376159668,0.04587697982788086,0.04155599594116211,0.035195112228393555,0.05532693862915039
roberta-base,PyTorch,100,8,0.041612863540649414,0.04503202438354492,0.042113516330719,0.038301944732666016,0.05393099784851074
roberta-base,PyTorch,100,16,0.06265807151794434,0.06537485122680664,0.06305138111114501,0.05979418754577637,0.07961106300354004
roberta-large,PyTorch,100,1,0.11519694328308105,0.11972665786743164,0.11544355869293213,0.10806703567504883,0.14042305946350098
roberta-large,PyTorch,100,2,0.11455512046813965,0.12241482734680176,0.11537687540054321,0.1034090518951416,0.14965581893920898
roberta-large,PyTorch,100,4,0.09398794174194336,0.09819293022155762,0.09498849630355835,0.09154486656188965,0.133544921875
roberta-large,PyTorch,100,8,0.12518000602722168,0.12789297103881836,0.1259192419052124,0.12266993522644043,0.1644878387451172
roberta-large,PyTorch,100,16,0.1669309139251709,0.1727609634399414,0.16898339986801147,0.16556310653686523,0.24281597137451172
albert-base-v2,PyTorch,100,1,0.054985761642456055,0.0578000545501709,0.05508516311645508,0.04788684844970703,0.09006404876708984
albert-base-v2,PyTorch,100,2,0.06546783447265625,0.07140517234802246,0.06434451580047608,0.04653811454772949,0.0751338005065918
albert-base-v2,PyTorch,100,4,0.045736074447631836,0.05182790756225586,0.045909650325775146,0.03684091567993164,0.05808424949645996
albert-base-v2,PyTorch,100,8,0.042636871337890625,0.047019004821777344,0.043422844409942624,0.03943490982055664,0.05583071708679199
albert-base-v2,PyTorch,100,16,0.0637214183807373,0.0656270980834961,0.06383257150650025,0.06095099449157715,0.07387900352478027
albert-large-v2,PyTorch,100,1,0.13071918487548828,0.13838887214660645,0.13159054040908813,0.12288689613342285,0.15626978874206543
albert-large-v2,PyTorch,100,2,0.12975382804870605,0.13939189910888672,0.13070402383804322,0.1123049259185791,0.14973115921020508
albert-large-v2,PyTorch,100,4,0.09844589233398438,0.10149908065795898,0.09878872871398926,0.09508609771728516,0.11690378189086914
albert-large-v2,PyTorch,100,8,0.12979674339294434,0.13466811180114746,0.1305055069923401,0.12663984298706055,0.14345121383666992
albert-large-v2,PyTorch,100,16,0.17432212829589844,0.18068289756774902,0.17545766830444337,0.16897892951965332,0.21131610870361328
albert-xlarge-v2,PyTorch,100,1,0.30396389961242676,0.31684398651123047,0.30438071966171265,0.2717750072479248,0.3245091438293457
albert-xlarge-v2,PyTorch,100,2,0.29970598220825195,0.30514097213745117,0.2994300580024719,0.27285313606262207,0.3211970329284668
albert-xlarge-v2,PyTorch,100,4,0.28023600578308105,0.28520917892456055,0.28099455118179323,0.2723519802093506,0.3094358444213867
albert-xlarge-v2,PyTorch,100,8,0.34911489486694336,0.3581888675689697,0.34102079153060916,0.31520891189575195,0.3629262447357178
albert-xlarge-v2,PyTorch,100,16,0.48840880393981934,0.4944648742675781,0.48379920482635497,0.4369802474975586,0.5020201206207275
albert-xxlarge-v2,PyTorch,100,1,0.4003262519836426,0.4076669216156006,0.401282958984375,0.3912200927734375,0.43513011932373047
albert-xxlarge-v2,PyTorch,100,2,0.40918612480163574,0.4134407043457031,0.4090188241004944,0.39383983612060547,0.455826997756958
albert-xxlarge-v2,PyTorch,100,4,0.4222290515899658,0.4267709255218506,0.42231364965438845,0.4127957820892334,0.45397520065307617
albert-xxlarge-v2,PyTorch,100,8,0.5506939888000488,0.555156946182251,0.5500251460075378,0.5287690162658691,0.5735518932342529
albert-xxlarge-v2,PyTorch,100,16,0.738861083984375,0.7475602626800537,0.7401989507675171,0.7299079895019531,0.785365104675293
bert-base-uncased,PyTorch,100,1,0.0503697395324707,0.05278825759887695,0.0508919620513916,0.046836137771606445,0.07609295845031738
bert-base-uncased,PyTorch,100,2,0.046511173248291016,0.05311298370361328,0.04746143579483032,0.03962898254394531,0.06109905242919922
bert-base-uncased,PyTorch,100,4,0.04229617118835449,0.04839205741882324,0.04263235092163086,0.03564310073852539,0.05851411819458008
bert-base-uncased,PyTorch,100,8,0.04012703895568848,0.041471004486083984,0.04030158996582031,0.037930965423583984,0.052721261978149414
bert-base-uncased,PyTorch,100,16,0.06129789352416992,0.06368684768676758,0.06178568124771118,0.05814719200134277,0.08159208297729492
bert-large-uncased,PyTorch,100,1,0.10055804252624512,0.10445165634155273,0.10186692714691162,0.09818482398986816,0.13894391059875488
bert-large-uncased,PyTorch,100,2,0.11226010322570801,0.11763787269592285,0.11278756856918334,0.10412216186523438,0.153245210647583
bert-large-uncased,PyTorch,100,4,0.09340381622314453,0.09648680686950684,0.09427907705307007,0.09078788757324219,0.1447770595550537
bert-large-uncased,PyTorch,100,8,0.12378621101379395,0.12552928924560547,0.12439349412918091,0.12117910385131836,0.16648507118225098
bert-large-uncased,PyTorch,100,16,0.1703948974609375,0.17496204376220703,0.17199418544769288,0.16432881355285645,0.24298906326293945
