Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
roberta-base,PyTorch,100,1,0.014158010482788086,0.014606237411499023,0.019425437450408936,0.013931035995483398,0.532050371170044
roberta-base,PyTorch,100,2,0.015346527099609375,0.015760421752929688,0.01542907476425171,0.015106439590454102,0.017741680145263672
roberta-base,PyTorch,100,4,0.015415191650390625,0.015843868255615234,0.015513725280761718,0.015194892883300781,0.01856231689453125
roberta-base,PyTorch,100,8,0.015563011169433594,0.015895605087280273,0.015655667781829835,0.015270233154296875,0.01974630355834961
roberta-base,PyTorch,100,16,0.016510963439941406,0.017049789428710938,0.016645433902740477,0.016243696212768555,0.019234180450439453
roberta-large,PyTorch,100,1,0.027982473373413086,0.028749942779541016,0.028019721508026122,0.027075767517089844,0.0294954776763916
roberta-large,PyTorch,100,2,0.030171632766723633,0.030968189239501953,0.03021836519241333,0.028912067413330078,0.032614707946777344
roberta-large,PyTorch,100,4,0.03078436851501465,0.03148531913757324,0.030807626247406007,0.02956366539001465,0.034021615982055664
roberta-large,PyTorch,100,8,0.030514240264892578,0.03111886978149414,0.030931568145751952,0.02940964698791504,0.07021212577819824
roberta-large,PyTorch,100,16,0.030282974243164062,0.03097391128540039,0.03050983190536499,0.02921891212463379,0.05409884452819824
albert-base-v2,PyTorch,100,1,0.016180038452148438,0.016594409942626953,0.01632566213607788,0.015891075134277344,0.027317285537719727
albert-base-v2,PyTorch,100,2,0.017403841018676758,0.01782679557800293,0.017547855377197264,0.017055988311767578,0.028381824493408203
albert-base-v2,PyTorch,100,4,0.017520666122436523,0.017939329147338867,0.017570092678070068,0.01718306541442871,0.018718242645263672
albert-base-v2,PyTorch,100,8,0.018453359603881836,0.018931865692138672,0.01852609872817993,0.01810169219970703,0.021195411682128906
albert-base-v2,PyTorch,100,16,0.018503665924072266,0.019042015075683594,0.01859184741973877,0.018169403076171875,0.020058155059814453
albert-large-v2,PyTorch,100,1,0.03188610076904297,0.032393693923950195,0.0318619441986084,0.030879974365234375,0.03281068801879883
albert-large-v2,PyTorch,100,2,0.03373074531555176,0.03417038917541504,0.03366024494171142,0.032655954360961914,0.03578829765319824
albert-large-v2,PyTorch,100,4,0.03442525863647461,0.034813642501831055,0.03439693689346313,0.033194541931152344,0.03650355339050293
albert-large-v2,PyTorch,100,8,0.034230947494506836,0.03473925590515137,0.03436590909957886,0.03324580192565918,0.04529833793640137
albert-large-v2,PyTorch,100,16,0.03452110290527344,0.035040855407714844,0.034520909786224366,0.033568382263183594,0.0382230281829834
albert-xlarge-v2,PyTorch,100,1,0.03235912322998047,0.03302621841430664,0.03233407497406006,0.03127765655517578,0.03400373458862305
albert-xlarge-v2,PyTorch,100,2,0.03432607650756836,0.03476715087890625,0.034261794090271,0.03313088417053223,0.036543846130371094
albert-xlarge-v2,PyTorch,100,4,0.03471183776855469,0.03522610664367676,0.03462124109268189,0.03321433067321777,0.036370038986206055
albert-xlarge-v2,PyTorch,100,8,0.03458738327026367,0.03511166572570801,0.03455496549606323,0.033423662185668945,0.03778266906738281
albert-xlarge-v2,PyTorch,100,16,0.03480339050292969,0.035561323165893555,0.03479288578033447,0.03344559669494629,0.042397260665893555
albert-xxlarge-v2,PyTorch,100,1,0.01751255989074707,0.018027067184448242,0.01755141019821167,0.01666402816772461,0.019556522369384766
albert-xxlarge-v2,PyTorch,100,2,0.017670631408691406,0.018033981323242188,0.017683544158935548,0.01725029945373535,0.019428253173828125
albert-xxlarge-v2,PyTorch,100,4,0.017671585083007812,0.018174171447753906,0.017746801376342772,0.017235279083251953,0.019767284393310547
albert-xxlarge-v2,PyTorch,100,8,0.028905868530273438,0.02924036979675293,0.028226017951965332,0.01728200912475586,0.02947258949279785
albert-xxlarge-v2,PyTorch,100,16,0.04847002029418945,0.048642635345458984,0.047309200763702396,0.01784038543701172,0.04917597770690918
bert-base-uncased,PyTorch,100,1,0.014409542083740234,0.01481485366821289,0.014549458026885986,0.014173507690429688,0.02190995216369629
bert-base-uncased,PyTorch,100,2,0.015328645706176758,0.015633821487426758,0.01538187026977539,0.015104293823242188,0.01728034019470215
bert-base-uncased,PyTorch,100,4,0.01542806625366211,0.015840768814086914,0.015531041622161866,0.015177249908447266,0.01858353614807129
bert-base-uncased,PyTorch,100,8,0.01545572280883789,0.0157320499420166,0.015485115051269531,0.01518392562866211,0.01741313934326172
bert-base-uncased,PyTorch,100,16,0.015594959259033203,0.01596355438232422,0.015668427944183348,0.01533818244934082,0.0174710750579834
bert-large-uncased,PyTorch,100,1,0.02822136878967285,0.028865814208984375,0.028229286670684816,0.027253389358520508,0.02994680404663086
bert-large-uncased,PyTorch,100,2,0.030165910720825195,0.030858278274536133,0.030169246196746827,0.02860546112060547,0.03297090530395508
bert-large-uncased,PyTorch,100,4,0.03015422821044922,0.030626296997070312,0.03015825033187866,0.029206037521362305,0.03330707550048828
bert-large-uncased,PyTorch,100,8,0.030574560165405273,0.031061410903930664,0.03054271936416626,0.029574155807495117,0.0335695743560791
bert-large-uncased,PyTorch,100,16,0.030502796173095703,0.031060457229614258,0.03050364017486572,0.029437780380249023,0.03354144096374512
