Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
prajjwal1/bert-tiny,PyTorch,1000,1,0.0017256736755371094,0.0017478466033935547,0.002171635627746582,0.001707315444946289,0.43814802169799805
prajjwal1/bert-tiny,PyTorch,1000,2,0.0018322467803955078,0.0018470287322998047,0.0018460073471069337,0.0018138885498046875,0.0058825016021728516
prajjwal1/bert-tiny,PyTorch,1000,4,0.0019326210021972656,0.0019659996032714844,0.001947993040084839,0.0019147396087646484,0.006047248840332031
prajjwal1/bert-tiny,PyTorch,1000,8,0.001934051513671875,0.0019452571868896484,0.0019431045055389403,0.0019161701202392578,0.006056547164916992
prajjwal1/bert-tiny,PyTorch,1000,16,0.0019423961639404297,0.0019562244415283203,0.001948028564453125,0.0019240379333496094,0.003408670425415039
prajjwal1/bert-mini,PyTorch,1000,1,0.0017390251159667969,0.0017528533935546875,0.0017483446598052978,0.0017206668853759766,0.005072116851806641
prajjwal1/bert-mini,PyTorch,1000,2,0.001844167709350586,0.001861572265625,0.0018524115085601807,0.0018279552459716797,0.004418134689331055
prajjwal1/bert-mini,PyTorch,1000,4,0.0019350051879882812,0.0019495487213134766,0.0019424209594726563,0.0019176006317138672,0.004589080810546875
prajjwal1/bert-mini,PyTorch,1000,8,0.0019421577453613281,0.001959562301635742,0.001950561761856079,0.001922607421875,0.004601716995239258
prajjwal1/bert-mini,PyTorch,1000,16,0.0019452571868896484,0.0019576549530029297,0.0019552621841430664,0.00193023681640625,0.006780862808227539
prajjwal1/bert-small,PyTorch,1000,1,0.001749277114868164,0.001768350601196289,0.0017563047409057616,0.00173187255859375,0.002787351608276367
prajjwal1/bert-small,PyTorch,1000,2,0.0018463134765625,0.0018587112426757812,0.0018543236255645751,0.001829385757446289,0.005109071731567383
prajjwal1/bert-small,PyTorch,1000,4,0.0019350051879882812,0.0019516944885253906,0.0019438412189483642,0.0019154548645019531,0.004511356353759766
prajjwal1/bert-small,PyTorch,1000,8,0.0019385814666748047,0.001950979232788086,0.0019462361335754394,0.0019190311431884766,0.0045850276947021484
prajjwal1/bert-small,PyTorch,1000,16,0.0019412040710449219,0.0019712448120117188,0.0019503741264343263,0.0019245147705078125,0.004537343978881836
prajjwal1/bert-medium,PyTorch,1000,1,0.001743316650390625,0.0017592906951904297,0.0017517085075378419,0.0017271041870117188,0.004448413848876953
prajjwal1/bert-medium,PyTorch,1000,2,0.0018472671508789062,0.0018699169158935547,0.0018543028831481934,0.0018305778503417969,0.003138303756713867
prajjwal1/bert-medium,PyTorch,1000,4,0.0019388198852539062,0.0019521713256835938,0.0019468891620635987,0.0019197463989257812,0.005220651626586914
prajjwal1/bert-medium,PyTorch,1000,8,0.0019328594207763672,0.0019605159759521484,0.0019416077136993409,0.0019140243530273438,0.004481077194213867
prajjwal1/bert-medium,PyTorch,1000,16,0.0019378662109375,0.0019528865814208984,0.001948216199874878,0.0019214153289794922,0.0045032501220703125
