Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
t5-small,PyTorch,1000,1,0.0776669979095459,0.0803365707397461,0.0788008725643158,0.07606744766235352,0.727269172668457
t5-small,PyTorch,1000,2,0.07750225067138672,0.07899093627929688,0.0777332911491394,0.07628846168518066,0.08744144439697266
t5-small,PyTorch,1000,4,0.07857751846313477,0.08097052574157715,0.07901960444450379,0.07695460319519043,0.08566761016845703
t5-small,PyTorch,1000,8,0.07840514183044434,0.07973313331604004,0.0785952570438385,0.07710814476013184,0.08456850051879883
t5-small,PyTorch,1000,16,0.07936596870422363,0.0819859504699707,0.07987314939498902,0.0775294303894043,0.24808096885681152
t5-base,PyTorch,1000,1,0.14330387115478516,0.14519309997558594,0.14359881734848023,0.14127206802368164,0.1510941982269287
t5-base,PyTorch,1000,2,0.14349699020385742,0.1454615592956543,0.1437334897518158,0.14110851287841797,0.15164828300476074
t5-base,PyTorch,1000,4,0.14390230178833008,0.14596319198608398,0.14420477437973023,0.14162445068359375,0.1529369354248047
t5-base,PyTorch,1000,8,0.14631056785583496,0.1484079360961914,0.14659961438179017,0.1441490650177002,0.15426015853881836
t5-base,PyTorch,1000,16,0.14612770080566406,0.14822053909301758,0.14641111063957216,0.14409732818603516,0.1575150489807129
t5-large,PyTorch,1000,1,0.27268266677856445,0.27626800537109375,0.2732192530632019,0.2692451477050781,0.28818607330322266
t5-large,PyTorch,1000,2,0.27402567863464355,0.27733516693115234,0.2744303636550903,0.2688257694244385,0.2885396480560303
t5-large,PyTorch,1000,4,0.27327728271484375,0.2790558338165283,0.2746431558132172,0.2699391841888428,0.30032944679260254
t5-large,PyTorch,1000,8,0.2727348804473877,0.27529120445251465,0.2730939359664917,0.2694520950317383,0.2925097942352295
t5-large,PyTorch,1000,16,0.2761385440826416,0.2785980701446533,0.27647718238830565,0.27344846725463867,0.29067420959472656
