Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
t5-small,PyTorch,100,1,0.09986710548400879,0.11065220832824707,0.10159692525863648,0.09552383422851562,0.11850595474243164
t5-small,PyTorch,100,2,0.17464971542358398,0.17844319343566895,0.17510581731796265,0.16988897323608398,0.18671107292175293
t5-small,PyTorch,100,4,0.20702290534973145,0.2252979278564453,0.20977021217346192,0.19689583778381348,0.24859905242919922
t5-small,PyTorch,100,8,0.24706578254699707,0.26844000816345215,0.2482917070388794,0.21468329429626465,0.3223590850830078
t5-small,PyTorch,100,16,0.2723870277404785,0.28617119789123535,0.27390005588531496,0.2540898323059082,0.38570332527160645
t5-base,PyTorch,100,1,0.2585759162902832,0.274503231048584,0.2602695822715759,0.2373950481414795,0.3316681385040283
t5-base,PyTorch,100,2,0.6663870811462402,0.7059502601623535,0.6712151288986206,0.6414122581481934,0.7635622024536133
t5-base,PyTorch,100,4,0.6194052696228027,0.6293458938598633,0.6193424916267395,0.5952630043029785,0.659592866897583
t5-base,PyTorch,100,8,0.6319248676300049,0.6443772315979004,0.6230180931091308,0.4762570858001709,0.671036958694458
t5-base,PyTorch,100,16,0.7727200984954834,0.8286118507385254,0.7759868168830871,0.6874668598175049,0.9175760746002197
t5-large,PyTorch,100,1,0.7704079151153564,0.7787108421325684,0.7714303493499756,0.7649521827697754,0.8047387599945068
t5-large,PyTorch,100,2,1.3341648578643799,1.3571667671203613,1.337630045413971,1.3146467208862305,1.3964331150054932
t5-large,PyTorch,100,4,1.4832630157470703,1.5164611339569092,1.4855605745315552,1.418355941772461,1.5810320377349854
t5-large,PyTorch,100,8,1.376772165298462,1.396399974822998,1.3786270809173584,1.358597993850708,1.4242169857025146
t5-large,PyTorch,100,16,1.5533778667449951,1.5702219009399414,1.5543914461135864,1.5328459739685059,1.6015679836273193
