Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
yolov5n,PyTorch,1000,1,0.011501789093017578,0.011586189270019531,0.012197710514068604,0.011397123336791992,0.665132999420166
yolov5n,PyTorch,1000,2,0.01623392105102539,0.01654362678527832,0.016328783988952638,0.01608133316040039,0.039647817611694336
yolov5n,PyTorch,1000,4,0.025179147720336914,0.025284528732299805,0.025253159284591674,0.024964570999145508,0.05023527145385742
yolov5n,PyTorch,1000,8,0.042171478271484375,0.04237079620361328,0.04227275037765503,0.04190778732299805,0.06801390647888184
yolov5n,PyTorch,1000,16,0.09422016143798828,0.09487700462341309,0.08847838830947875,0.08167099952697754,0.10917115211486816
yolov5s,PyTorch,1000,1,0.011832475662231445,0.011920928955078125,0.011884511232376098,0.011746883392333984,0.03557610511779785
yolov5s,PyTorch,1000,2,0.016426801681518555,0.016748905181884766,0.016495906352996827,0.016271352767944336,0.03632473945617676
yolov5s,PyTorch,1000,4,0.026390552520751953,0.026485204696655273,0.02643751549720764,0.026146650314331055,0.04611921310424805
yolov5s,PyTorch,1000,8,0.04992556571960449,0.05010271072387695,0.05000313806533813,0.049617767333984375,0.07257461547851562
yolov5s,PyTorch,1000,16,0.10861706733703613,0.10914969444274902,0.10323080468177795,0.09678053855895996,0.12677597999572754
yolov5m,PyTorch,1000,1,0.01431417465209961,0.014416933059692383,0.014358767986297608,0.014201641082763672,0.034820556640625
yolov5m,PyTorch,1000,2,0.0208737850189209,0.02097940444946289,0.020906222581863403,0.020697832107543945,0.038140058517456055
yolov5m,PyTorch,1000,4,0.03741097450256348,0.03758955001831055,0.037454890966415404,0.03712868690490723,0.05152130126953125
yolov5m,PyTorch,1000,8,0.07323145866394043,0.07365632057189941,0.07326469874382019,0.07222795486450195,0.09535741806030273
yolov5m,PyTorch,1000,16,0.1493692398071289,0.15110397338867188,0.14438120985031128,0.13631033897399902,0.17004799842834473
yolov5l,PyTorch,1000,1,0.017385482788085938,0.01749706268310547,0.01744561505317688,0.017261981964111328,0.03763580322265625
yolov5l,PyTorch,1000,2,0.03067493438720703,0.030922412872314453,0.030710076570510864,0.03025031089782715,0.04485034942626953
yolov5l,PyTorch,1000,4,0.054380178451538086,0.0547487735748291,0.05437255001068115,0.05329418182373047,0.07268285751342773
yolov5l,PyTorch,1000,8,0.10337138175964355,0.10520195960998535,0.10354155707359314,0.10146188735961914,0.12331867218017578
yolov5l,PyTorch,1000,16,0.20614409446716309,0.20827794075012207,0.20145321846008302,0.19347310066223145,0.22037839889526367
yolov5x,PyTorch,1000,1,0.02594590187072754,0.026159286499023438,0.025999871253967285,0.02535223960876465,0.04345512390136719
yolov5x,PyTorch,1000,2,0.04569411277770996,0.04602551460266113,0.04569974684715271,0.044458627700805664,0.05962347984313965
yolov5x,PyTorch,1000,4,0.08472943305969238,0.08583426475524902,0.08478848505020141,0.08281826972961426,0.10481715202331543
yolov5x,PyTorch,1000,8,0.16233038902282715,0.1632227897644043,0.16235881042480468,0.15914535522460938,0.18680024147033691
yolov5x,PyTorch,1000,16,0.2841508388519287,0.28516530990600586,0.2842071919441223,0.2811737060546875,0.3061859607696533
