Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
yolov5n,PyTorch,100,1,0.016050100326538086,0.016425371170043945,0.024459097385406494,0.01551198959350586,0.85782790184021
yolov5n,PyTorch,100,2,0.020707130432128906,0.021391868591308594,0.020880908966064454,0.01952958106994629,0.03861856460571289
yolov5n,PyTorch,100,4,0.029393672943115234,0.029914379119873047,0.029624333381652834,0.02828669548034668,0.051428794860839844
yolov5n,PyTorch,100,8,0.046705007553100586,0.04705071449279785,0.04703617334365845,0.0460970401763916,0.07445073127746582
yolov5n,PyTorch,100,16,0.07894420623779297,0.07947063446044922,0.07944846391677857,0.07849454879760742,0.11511063575744629
yolov5s,PyTorch,100,1,0.016385316848754883,0.017102718353271484,0.016605608463287354,0.01582956314086914,0.03314661979675293
yolov5s,PyTorch,100,2,0.020709991455078125,0.021198511123657227,0.020822403430938722,0.019593477249145508,0.03560233116149902
yolov5s,PyTorch,100,4,0.029876708984375,0.030315876007080078,0.030008397102355956,0.028802871704101562,0.04815959930419922
yolov5s,PyTorch,100,8,0.04791140556335449,0.04876708984375,0.048303458690643314,0.047328948974609375,0.07142376899719238
yolov5s,PyTorch,100,16,0.08513474464416504,0.08602261543273926,0.08553650856018066,0.08450651168823242,0.11052513122558594
yolov5m,PyTorch,100,1,0.020692110061645508,0.02107405662536621,0.020774743556976318,0.019739627838134766,0.0375826358795166
yolov5m,PyTorch,100,2,0.0251767635345459,0.02583932876586914,0.025308871269226076,0.02394556999206543,0.04041552543640137
yolov5m,PyTorch,100,4,0.03400015830993652,0.034432172775268555,0.03416295051574707,0.03298830986022949,0.04825568199157715
yolov5m,PyTorch,100,8,0.057782649993896484,0.05814027786254883,0.05797817945480346,0.057241201400756836,0.07055377960205078
yolov5m,PyTorch,100,16,0.10869145393371582,0.10934972763061523,0.1090405035018921,0.10812711715698242,0.12870073318481445
yolov5l,PyTorch,100,1,0.024837732315063477,0.02525496482849121,0.024996938705444335,0.02405524253845215,0.040412187576293945
yolov5l,PyTorch,100,2,0.028734683990478516,0.029225826263427734,0.028834526538848878,0.027704954147338867,0.042975664138793945
yolov5l,PyTorch,100,4,0.04113483428955078,0.04148244857788086,0.04130465030670166,0.0403139591217041,0.054654598236083984
yolov5l,PyTorch,100,8,0.07608604431152344,0.07653069496154785,0.07608617544174194,0.07480835914611816,0.08368468284606934
yolov5l,PyTorch,100,16,0.13868212699890137,0.1393415927886963,0.1388778281211853,0.1378614902496338,0.14955568313598633
yolov5x,PyTorch,100,1,0.02858757972717285,0.02902531623840332,0.02874222755432129,0.02794623374938965,0.045000553131103516
yolov5x,PyTorch,100,2,0.03231382369995117,0.032685041427612305,0.03233258247375488,0.03106975555419922,0.04862833023071289
yolov5x,PyTorch,100,4,0.05631303787231445,0.056649208068847656,0.05643529891967773,0.055736541748046875,0.06490969657897949
yolov5x,PyTorch,100,8,0.10602235794067383,0.10649991035461426,0.10617093563079834,0.10549116134643555,0.11474323272705078
yolov5x,PyTorch,100,16,0.1916968822479248,0.19231247901916504,0.19192336320877076,0.19087648391723633,0.2015373706817627
