Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
roberta-base,PyTorch,100,1,0.014667749404907227,0.014878511428833008,0.13217480421066286,0.014537811279296875,11.739859342575073
roberta-base,PyTorch,100,2,0.015190839767456055,0.015289068222045898,0.015489501953125,0.015066146850585938,0.03744053840637207
roberta-base,PyTorch,100,4,0.015716075897216797,0.01585674285888672,0.015898945331573485,0.015578269958496094,0.02612161636352539
roberta-base,PyTorch,100,8,0.015903234481811523,0.016031503677368164,0.01602038860321045,0.01578807830810547,0.022091388702392578
roberta-base,PyTorch,100,16,0.01593470573425293,0.016066789627075195,0.016025526523590086,0.015845060348510742,0.0193784236907959
roberta-large,PyTorch,100,1,0.030335426330566406,0.030539274215698242,0.030414221286773683,0.03002619743347168,0.03464198112487793
roberta-large,PyTorch,100,2,0.03166556358337402,0.032167911529541016,0.03181943416595459,0.03137922286987305,0.03580307960510254
roberta-large,PyTorch,100,4,0.030953645706176758,0.03123331069946289,0.03111738920211792,0.030699968338012695,0.0356292724609375
roberta-large,PyTorch,100,8,0.03073859214782715,0.03098893165588379,0.03106954336166382,0.030462026596069336,0.04471921920776367
roberta-large,PyTorch,100,16,0.030980825424194336,0.0314176082611084,0.031139061450958253,0.030706167221069336,0.0385894775390625
albert-base-v2,PyTorch,100,1,0.01679682731628418,0.01697397232055664,0.01752241134643555,0.016648530960083008,0.08420586585998535
albert-base-v2,PyTorch,100,2,0.017381668090820312,0.017590045928955078,0.01750511407852173,0.01722240447998047,0.024221420288085938
albert-base-v2,PyTorch,100,4,0.017884016036987305,0.018039941787719727,0.01794281482696533,0.01771092414855957,0.02061295509338379
albert-base-v2,PyTorch,100,8,0.01809382438659668,0.018307924270629883,0.018416361808776857,0.01790785789489746,0.04450702667236328
albert-base-v2,PyTorch,100,16,0.01811695098876953,0.018276214599609375,0.01818479537963867,0.01798868179321289,0.021134614944458008
albert-large-v2,PyTorch,100,1,0.034577131271362305,0.03483438491821289,0.03469064235687256,0.03435492515563965,0.03962063789367676
albert-large-v2,PyTorch,100,2,0.036035776138305664,0.03626132011413574,0.03616832494735718,0.03576970100402832,0.04099893569946289
albert-large-v2,PyTorch,100,4,0.03522038459777832,0.03563117980957031,0.03538243293762207,0.03492379188537598,0.039827585220336914
albert-large-v2,PyTorch,100,8,0.0349576473236084,0.035300254821777344,0.03527896404266358,0.034587860107421875,0.05088520050048828
albert-large-v2,PyTorch,100,16,0.03546786308288574,0.035779476165771484,0.03556127071380615,0.03520822525024414,0.03949284553527832
albert-xlarge-v2,PyTorch,100,1,0.034388065338134766,0.03475475311279297,0.03450748682022095,0.034136295318603516,0.03830218315124512
albert-xlarge-v2,PyTorch,100,2,0.034491777420043945,0.03486037254333496,0.03463238477706909,0.0342562198638916,0.04034996032714844
albert-xlarge-v2,PyTorch,100,4,0.0350499153137207,0.03530430793762207,0.03511373519897461,0.03476095199584961,0.03789353370666504
albert-xlarge-v2,PyTorch,100,8,0.03560495376586914,0.0358424186706543,0.03565901279449463,0.03531479835510254,0.038796424865722656
albert-xlarge-v2,PyTorch,100,16,0.03693270683288574,0.037045955657958984,0.036625881195068356,0.03547811508178711,0.045632362365722656
albert-xxlarge-v2,PyTorch,100,1,0.02221393585205078,0.022284507751464844,0.021614463329315187,0.016987085342407227,0.023023366928100586
albert-xxlarge-v2,PyTorch,100,2,0.022253751754760742,0.0223541259765625,0.021719958782196045,0.01779007911682129,0.024567127227783203
albert-xxlarge-v2,PyTorch,100,4,0.02406620979309082,0.02416253089904785,0.023483827114105224,0.017906904220581055,0.0250091552734375
albert-xxlarge-v2,PyTorch,100,8,0.03787636756896973,0.0379328727722168,0.03679415702819824,0.01770305633544922,0.040721893310546875
albert-xxlarge-v2,PyTorch,100,16,0.08061480522155762,0.08089256286621094,0.07863888978958129,0.01846480369567871,0.08129000663757324
bert-base-uncased,PyTorch,100,1,0.014902114868164062,0.015098333358764648,0.014953198432922364,0.014768123626708984,0.017184972763061523
bert-base-uncased,PyTorch,100,2,0.015365123748779297,0.015532970428466797,0.015406403541564941,0.015208721160888672,0.017445087432861328
bert-base-uncased,PyTorch,100,4,0.0159151554107666,0.0160977840423584,0.015959630012512206,0.015770912170410156,0.01791524887084961
bert-base-uncased,PyTorch,100,8,0.01600790023803711,0.01611471176147461,0.016054484844207764,0.015883922576904297,0.018250465393066406
bert-base-uncased,PyTorch,100,16,0.016086101531982422,0.016224384307861328,0.01612908363342285,0.015937089920043945,0.018222808837890625
bert-large-uncased,PyTorch,100,1,0.030521631240844727,0.03073883056640625,0.030650556087493896,0.030238866806030273,0.03497672080993652
bert-large-uncased,PyTorch,100,2,0.03189873695373535,0.03212690353393555,0.03199400901794434,0.031676530838012695,0.03621172904968262
bert-large-uncased,PyTorch,100,4,0.031177520751953125,0.031442880630493164,0.03125649690628052,0.030851364135742188,0.034478187561035156
bert-large-uncased,PyTorch,100,8,0.03086686134338379,0.031023263931274414,0.03094313621520996,0.030612945556640625,0.034287452697753906
bert-large-uncased,PyTorch,100,16,0.03126358985900879,0.031478166580200195,0.03133641719818115,0.03097224235534668,0.03461098670959473
